,y,x,num,txt
20,0.005962539129100608,单曲循环过大海港和小企鹅,1,1.单曲循环过大海港和小企鹅
1,0.018680535539688625,用高杨做过头像,2,2.用高杨做过头像
53,0.027863694306432207,为羊吹过彩虹屁,3,3.为羊吹过彩虹屁
27,0.031164884109012192,看到动物羊会觉得很亲切,4,4.看到动物羊会觉得很亲切
66,0.0508898162431084,对绕口令产生了复杂的情感,5,5.对绕口令产生了复杂的情感
65,0.05479623117386079,在声时期为高杨打过榜,6,6.在声时期为高杨打过榜
17,0.06638710885993793,去过长沙粉丝见面会,7,7.去过长沙粉丝见面会
35,0.07289529763259328,为抢票拼过命,8,8.为抢票拼过命
46,0.08292856278360117,因为高杨开始走进剧场,9,9.因为高杨开始走进剧场
64,0.10111792900150784,在杭州末场与Jervis高作别,10,10.在杭州末场与Jervis高作别
15,0.10802139888782947,去过声巡有高杨的场次,11,11.去过声巡有高杨的场次
16,0.11671839489716151,现场听过per te ci saro,12,12.现场听过per te ci saro
56,0.11940609276914027,会用五花八门的昵称去称呼羊,13,13.会用五花八门的昵称去称呼羊
42,0.11956755064430535,为羊的红v操过心,14,14.为羊的红v操过心
44,0.121622720625159,看过10场及以上羊的演出,15,15.看过10场及以上羊的演出
36,0.12975414747689762,下过一堆奇怪的app,16,16.下过一堆奇怪的app
4,0.1321539490462642,拥有签名,17,17.拥有签名
29,0.14701125503610857,看过高杨的现场,18,18.看过高杨的现场
21,0.14977506477840552,看过羊腿,19,19.看过羊腿
11,0.15743849037044444,向路人激情安利过,20,20.向路人激情安利过
52,0.18835407500055834,为高杨写过演出repo,21,21.为高杨写过演出repo
57,0.21112689508632188,看过高杨提过的剧集或电影,22,22.看过高杨提过的剧集或电影
61,0.25093355610278456,中过别人的抽奖,23,23.中过别人的抽奖
30,0.25870242065601445,为高杨进行过创作,24,24.为高杨进行过创作
2,0.27597255834365786,get过高杨同款,25,25.get过高杨同款
49,0.29440581894101703,握着fd的票，就等着Arron走进酒吧,26,26.握着fd的票，就等着Arron走进酒吧
40,0.2960423536208323,在乐高里交到了好朋友,27,27.在乐高里交到了好朋友
39,0.3140243697861781,内存为羊的美图拼过命,28,28.内存为羊的美图拼过命
34,0.34637074839600634,为高杨刷过词条,29,29.为高杨刷过词条
59,0.3541420363840747,直播时连过麦,30,30.直播时连过麦
13,0.3570679249282469,去异地看过羊的演出,31,31.去异地看过羊的演出
5,0.36497636758392216,在评论区被翻过牌,32,32.在评论区被翻过牌
62,0.4021534096581382,现场见证首场长腿,33,33.现场见证首场长腿
22,0.4265855040888151,用女友视角图骗过人,34,34.用女友视角图骗过人
6,0.4388546437277828,中过小剧场的抽奖,35,35.中过小剧场的抽奖
18,0.48585628679165227,去过蓝一,36,36.去过蓝一
7,0.5036178503133567,有过现场的对话,37,37.有过现场的对话
38,0.5069189425531795,听过高杨推荐的歌单,38,38.听过高杨推荐的歌单
32,0.5194057710273821,打卡过同款店面/地标,39,39.打卡过同款店面/地标
23,0.5302311162154705,现场听过高杨唱红歌,40,40.现场听过高杨唱红歌
69,0.5722272927159281,测试3,41,41.测试3
54,0.5875702657203172,在超过3个城市看过高杨的演出,42,42.在超过3个城市看过高杨的演出
10,0.5919056437546862,看过高杨的知乎课,43,43.看过高杨的知乎课
47,0.6354839412909847,去过新疆博乐,44,44.去过新疆博乐
0,0.6371738156422536,见过真人,45,45.见过真人
33,0.6561687052535252,中过羊腿签售,46,46.中过羊腿签售
68,0.6811427610437337,测试2,47,47.测试2
48,0.6847264828335775,去过维也纳,48,48.去过维也纳
63,0.6972439036284581,坐过高杨的一排一座,49,49.坐过高杨的一排一座
31,0.6973504231495293,学到过奇奇怪怪的知识,50,50.学到过奇奇怪怪的知识
9,0.7095901459227444,领过他人制作的物料,51,51.领过他人制作的物料
55,0.7171128428723443,写过zqsg小作文,52,52.写过zqsg小作文
51,0.793548916562685,在ktv唱过高杨的歌,53,53.在ktv唱过高杨的歌
8,0.8213286745948838,自己做过物料,54,54.自己做过物料
43,0.8363349778560244,为羊的单曲打过榜,55,55.为羊的单曲打过榜
26,0.857572706987007,感叹过糕糕的可爱,56,56.感叹过糕糕的可爱
45,0.8582964771846965,成为粉丝大咖,57,57.成为粉丝大咖
50,0.8711399035851214,手持洛阳铲激情考古过,58,58.手持洛阳铲激情考古过
41,0.9030456534993697,因为高杨尝试过之前不敢尝试的事情,59,59.因为高杨尝试过之前不敢尝试的事情
28,0.9087564236342293,看过高杨的直播,60,60.看过高杨的直播
14,0.9184453374619745,加入了羊群,61,61.加入了羊群
67,0.9343388347088212,测试1,62,62.测试1
19,0.9375927325660277,打卡过蓝二,63,63.打卡过蓝二
60,0.9426572830449975,自己搞过抽奖,64,64.自己搞过抽奖
37,0.9475256145359464,还在超话坚持签到,65,65.还在超话坚持签到
3,0.961958918826704,有过合影,66,66.有过合影
24,0.9672921104505804,因为高杨get过某个技能,67,67.因为高杨get过某个技能
58,0.9766981331821643,参加过8公斤水果的抽奖,68,68.参加过8公斤水果的抽奖
25,0.9781739112832218,被高杨的奇思妙想戳到过,69,69.被高杨的奇思妙想戳到过
70,0.9841615367726582,测试4,70,70.测试4
12,0.9908003333746399,给高杨写过信,71,71.给高杨写过信
